,number,value,datetime_start,datetime_complete,duration,params_d_model,params_dff,params_dropout_rate,params_num_heads,params_num_layers,state
0,0,0.791593671,45400.80551,45400.80674,0 days 00:01:45.902314,512,512,0.48264613,7,2,COMPLETE
1,1,0.785464108,45400.80674,45400.80739,0 days 00:00:56.872920,512,256,0.132674094,5,1,COMPLETE
2,2,0.790280223,45400.80739,45400.80858,0 days 00:01:42.393659,512,1024,0.308510465,6,2,COMPLETE
3,3,0.808231175,45400.80858,45400.80904,0 days 00:00:39.415213,128,256,0.485995311,5,1,COMPLETE
4,4,0.801663756,45400.80904,45400.81018,0 days 00:01:38.555393,256,512,0.480892883,4,4,COMPLETE
5,5,0.802977204,45400.81018,45400.81069,0 days 00:00:44.566485,128,1024,0.288979067,8,1,COMPLETE
6,6,0.791593671,45400.81069,45400.81173,0 days 00:01:29.598585,256,256,0.300190093,4,4,COMPLETE
7,7,0.800350249,45400.81173,45400.81235,0 days 00:00:53.747869,128,256,0.148612093,1,2,COMPLETE
8,8,0.783274949,45400.81235,45400.81381,0 days 00:02:05.713906,256,1024,0.147849846,8,4,COMPLETE
9,9,0.798161149,45400.81381,45400.81498,0 days 00:01:41.021859,256,256,0.334463418,6,4,COMPLETE
10,10,0.80341506,45400.81498,45400.81586,0 days 00:01:15.974904,128,256,0.403096686,2,3,COMPLETE
11,11,0.798598945,45400.81586,45400.81667,0 days 00:01:09.969664,128,256,0.405414681,2,3,COMPLETE
12,12,0.801225901,45400.81667,45400.81749,0 days 00:01:10.929524,128,256,0.404309319,3,3,COMPLETE
13,13,0.795534134,45400.81749,45400.81836,0 days 00:01:15.605859,128,256,0.406741223,1,3,COMPLETE
14,14,0.808231175,45400.81836,45400.81881,0 days 00:00:39.008817,128,256,0.440941699,3,1,COMPLETE
15,15,0.807355523,45400.81881,45400.81935,0 days 00:00:46.243397,128,512,0.486417583,5,1,COMPLETE
16,16,0.807793319,45400.81935,45400.81976,0 days 00:00:35.692168,128,256,0.2410897,3,1,COMPLETE
17,17,0.779772341,45400.81976,45400.82046,0 days 00:01:00.018565,128,256,0.445527945,3,2,COMPLETE
18,18,0.814798594,45400.82046,45400.82097,0 days 00:00:44.416512,128,512,0.454092084,6,1,COMPLETE
19,19,0.798161149,45400.82097,45400.82167,0 days 00:01:00.063934,512,512,0.233153707,6,1,COMPLETE
20,20,0.783274949,45400.82167,45400.82231,0 days 00:00:55.545978,128,512,0.357495692,7,2,COMPLETE
21,21,0.811295986,45400.82231,45400.8228,0 days 00:00:42.647511,128,512,0.441072531,5,1,COMPLETE
22,22,0.807793319,45400.8228,45400.82331,0 days 00:00:43.470052,128,512,0.451423427,5,1,COMPLETE
23,23,0.80341506,45400.82331,45400.82379,0 days 00:00:41.796343,128,512,0.363512405,7,1,COMPLETE
24,24,0.796409786,45400.82379,45400.82451,0 days 00:01:02.335600,128,512,0.499049626,6,2,COMPLETE
25,25,0.793345034,45400.82451,45400.82503,0 days 00:00:44.553264,128,512,0.447094922,4,1,COMPLETE
26,26,0.807793319,45400.82503,45400.82552,0 days 00:00:43.063364,128,512,0.382597534,5,1,COMPLETE
27,27,0.806042016,45400.82552,45400.82621,0 days 00:00:59.031590,128,1024,0.428454423,6,2,COMPLETE
28,28,0.802101552,45400.82621,45400.82695,0 days 00:01:03.876558,512,512,0.456518108,7,1,COMPLETE
29,29,0.805166364,45400.82695,45400.82777,0 days 00:01:10.820696,256,512,0.470940885,5,2,COMPLETE
30,30,0.807355523,45400.82777,45400.8284,0 days 00:00:54.829940,512,512,0.426122532,4,1,COMPLETE
31,31,0.812171638,45400.8284,45400.82892,0 days 00:00:45.063579,128,256,0.469936167,3,1,COMPLETE
32,32,0.807355523,45400.82892,45400.82942,0 days 00:00:42.766993,128,256,0.472210428,4,1,COMPLETE
33,33,0.806042016,45400.82942,45400.82994,0 days 00:00:44.683193,128,1024,0.485653305,6,1,COMPLETE
34,34,0.807793319,45400.82994,45400.83063,0 days 00:00:59.834541,128,256,0.495472734,5,2,COMPLETE
35,35,0.802539408,45400.83063,45400.83132,0 days 00:00:59.872160,512,512,0.465229696,5,1,COMPLETE
36,36,0.803852916,45400.83132,45400.83182,0 days 00:00:43.323363,128,1024,0.382203966,2,1,COMPLETE
37,37,0.800350249,45400.83182,45400.83251,0 days 00:00:59.596689,256,256,0.102217068,4,2,COMPLETE
38,38,0.809106827,45400.83251,45400.83306,0 days 00:00:47.464566,128,512,0.426508686,6,1,COMPLETE
39,39,0.794220686,45400.83306,45400.83354,0 days 00:00:41.555976,128,512,0.33424933,7,1,COMPLETE
40,40,0.801225901,45400.83354,45400.83485,0 days 00:01:52.671810,512,512,0.42268065,8,2,COMPLETE
41,41,0.805604219,45400.83485,45400.83535,0 days 00:00:43.343397,128,512,0.474496331,5,1,COMPLETE
42,42,0.804290712,45400.83535,45400.83586,0 days 00:00:44.301175,128,512,0.429481748,6,1,COMPLETE
43,43,0.794658482,45400.83586,45400.83633,0 days 00:00:40.680799,128,256,0.386775938,6,1,COMPLETE
44,44,0.794220686,45400.83633,45400.83685,0 days 00:00:44.681757,256,256,0.245730271,4,1,COMPLETE
45,45,0.794658482,45400.83685,45400.8373,0 days 00:00:39.204337,128,1024,0.205850892,7,1,COMPLETE
46,46,0.799912453,45400.8373,45400.83796,0 days 00:00:56.778881,128,256,0.417555615,5,2,COMPLETE
